Artist,Title,Min_070623,Median_070623,Higher_070623
Mike Oldfield,Amarok,9.1,18.19,40.43
Mike Oldfield,QE2,1.45,4.6,10.0
Mike Oldfield,Tubular Bells II,6.21,13.21,40.86
Mungo Jerry,In The Summertime,0.5,1.75,4.0
Nina Simone,In Concert,12.42,16.15,27.74
Orchestra «Pro Arte» Di Monaco* / Kurt Redel,"Il Canone Di Pachelbel, Il Largo Di Handel, L'Aria Di Bach (E Altre Loro Celebri Composizioni)",5.6,6.43,7.27
Pink Floyd,Animals,7.15,22.98,45.98
Pink Floyd,The Dark Side Of The Moon,9.6,25.26,54.58
The Police,Ghost In The Machine,2.93,8.08,15.16
Procol Harum,Exotic Birds And Fruit,2.43,4.13,10.28
Queen,News Of The World,3.58,20.56,28.61
Queen,Queen,21.36,22.13,22.9
Rick Wakeman,1984,3.0,5.0,10.5
Roxy Music,Avalon,4.09,9.49,25.54
Thelonious Monk & Art Blakey,Blue Monk,9.69,13.95,24.25
The Crusaders With B. B. King* And The Royal Philharmonic Orchestra,"Royal Jam (Recorded Live At The Royal Festival Hall, London)",1.0,5.5,8.0
The Dave Brubeck Quartet,Time Out,13.15,17.57,19.63
Dire Straits & Mark Knopfler,Private Investigations (The Best Of),19.65,28.5,38.53
Electric Light Orchestra,Eldorado - A Symphony By The Electric Light Orchestra,5.88,9.79,16.65
The Gerry Mulligan Quartet* With Chet Baker,Soft Shoe,13.08,18.05,18.65
Mike Oldfield,Tubular Bells,3.03,8.03,15.16
New Trolls,Concerto Grosso N° 2,9.89,18.8,59.37
Pink Floyd,Delicate Sound Of Thunder,46.48,58.54,91.93
Premiata Forneria Marconi,L'Isola Di Niente,8.25,31.33,83.56
Premiata Forneria Marconi,Live In U.S.A.,12.0,18.0,28.2
Premiata Forneria Marconi,Per Un Amico,15.16,44.98,151.61
Premiata Forneria Marconi,Photos Of Ghosts,4.8,7.43,47.95
Queen,A Night At The Opera,6.71,15.68,26.91
