Artist,Title,Min,Median,Higher
Premiata Forneria Marconi,L'Isola Di Niente,€8.16,€31.00,€82.67
Premiata Forneria Marconi,Live In U.S.A.,€11.87,€17.81,€27.90
Premiata Forneria Marconi,Per Un Amico,€15.00,€44.50,€150.00
Premiata Forneria Marconi,Photos Of Ghosts,€4.74,€7.35,€47.44
Procol Harum,Exotic Birds And Fruit,€2.40,€4.09,€10.17
Queen,A Night At The Opera,€6.64,€15.51,€26.62
Queen,News Of The World,€3.54,€20.34,€28.30
Queen,Queen,€21.14,€21.90,€22.65
Queen,The Game,€10.11,€18.19,€46.19
Queen,The Miracle,€10.06,€19.41,€35.38
Riccardo Cocciante,I Momenti Dell'Amore,€0.99,€1.98,€3.96
Rick Astley,Hold Me In Your Arms,€2.53,€4.47,€10.11
Rick Wakeman,1984,€2.97,€4.94,€10.39
Rondo' Veneziano*,Arabesque,€3.34,€8.09,€15.16
Roxy Music,Avalon,€4.04,€9.39,€25.27
Roxy Music,Flesh + Blood,€1.92,€4.85,€19.16
Santana,Caravanserai,€3.99,€10.00,€20.75
Santana,Caravanserai,€4.55,€6.10,€13.04
Santo & Johnny,Il Padrino Famosi Temi Da Films,€2.80,€3.08,€3.36
Santo & Johnny,Tenderly = Teneramente,€2.33,€4.35,€9.69
Sarah Vaughan,Sarah Vaughan,€0.92,€3.71,€9.29
The Shadows,20 Golden Greats,€0.98,€4.39,€19.57
The Shadows,20 Golden Greats = 20 Grandes Exitos,€2.20,€5.00,€9.90
Spandau Ballet,Journeys To Glory = Viajes A La Gloria,€1.89,€4.29,€10.45
Spandau Ballet,Parade,€1.90,€3.99,€12.00
Spandau Ballet,Through The Barricades,€1.52,€4.14,€9.00
Spandau Ballet,True = Verdad,€5.87,€9.30,€9.79
Status Quo,Blue For You,€1.50,€4.70,€9.90
Status Quo,Just Supposin'...,€1.99,€4.00,€7.90
Status Quo,Rockin' All Over The World,€3.01,€4.90,€8.10
Supertramp,Crime Of The Century,€4.95,€7.83,€20.22
Thelonious Monk & Art Blakey,Blue Monk,€9.59,€13.81,€23.99
Various,Fame - Bande Originale du Film,€0.29,€4.13,€18.60
Various,Festivalbar '87,€3.07,€7.76,€26.12
Various,I Supergruppi Vol.1,€1.90,€7.11,€11.75
Various,Natale Con I Tuoi...,€0.99,€3.95,€7.91
Various,Pretty Woman (Soundtrack),€2.53,€7.83,€20.21
Various,Sanremo 86,€2.02,€5.56,€20.22
Various,Vision Quest (Original Motion Picture Sound Track),€1.95,€5.11,€25.55
Vasco Rossi,Albachiara,€7.15,€15.84,€40.88
Yes,Big Generator,€2.45,€7.34,€12.68
Yes,Going For The One,€2.86,€7.15,€10.22
Yes,Relayer,€5.11,€9.10,€15.33
