Artist,Title,Higher_120623,Min_070623,Median_070623
Claudio Baglioni,Solo,2.04,9.71,29.62
The Police,Every Breath You Take (The Singles),3.95,9.89,19.79
Rondo' Veneziano*,Arabesque,3.34,8.09,15.16
John Barry,Dances With Wolves (Original Motion Picture Soundtrack),4.06,13.0,35.0
Vasco Rossi,Albachiara,7.15,15.84,40.88
Rick Astley,Hold Me In Your Arms,2.53,4.47,10.11
The Doors,The Doors (Music From The Original Motion Picture),4.99,16.37,39.99
Various,Pretty Woman (Soundtrack),2.5,8.0,18.5
a-ha,Hunting High And Low,1.07,10.21,15.33
a-ha,Scoundrel Days,3.53,5.05,20.44
a-ha,Stay On These Roads,3.0,7.0,15.0
a-ha,East Of The Sun West Of The Moon,5.05,11.62,26.28
Duran Duran,Notorious,2.0,6.9,24.0
Michael Jackson,Bad,0.95,15.45,40.0
Cariocas,Batida,6.51,10.0,30.0
Graciela Guevara,Graciela Guevara,21.57,21.57,21.57
Los Cachaos,Samba Rumba Y Cha Cha Cha,10.78,10.78,10.78
Various,Vision Quest (Original Motion Picture Sound Track),1.95,5.11,25.55
The London Symphony Orchestra And Chambre Choir*,Tommy / As Performed By The London Symphony Orchestra And Chambre Choir With Guest Soloists,0.99,4.99,37.2
The Shadows,20 Golden Greats,0.98,4.39,19.57
Luigi Tenco,Agli Amici Cantautori,3.87,6.77,11.62
Riccardo Cocciante,I Momenti Dell'Amore,1.0,2.0,4.0
Franco Cerri,Nuages,18.98,26.05,52.19
