,Artist,Title,Min,Median,Higher,Min_290523,Median_290523,Higher_290523,Min_070623,Median_070623,Higher_070623,Min_120623,Median_120623,Higher_120623,Min_190623,Median_190623,Higher_190623,Min_260623,Median_260623,Higher_260623
143,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,3.95,9.89,20.53
144,Santana,Caravanserai,2.24,5.88,12.9,3.99,10.0,20.75,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76
145,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53
146,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,2.21,5.82,12.76
147,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,4.03,10.11,20.97,3.99,10.0,20.75,2.19,5.76,12.62,3.95,9.89,20.53
148,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,4.03,10.11,20.97,3.99,10.0,20.75,2.19,5.76,12.62,2.21,5.82,12.76
149,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,4.03,10.11,20.97,2.24,5.88,12.9,3.9,9.78,20.3,3.95,9.89,20.53
150,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,4.03,10.11,20.97,2.24,5.88,12.9,3.9,9.78,20.3,2.21,5.82,12.76
151,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,4.03,10.11,20.97,2.24,5.88,12.9,2.19,5.76,12.62,3.95,9.89,20.53
152,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,4.03,10.11,20.97,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76
153,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53
154,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,3.99,10.0,20.75,3.9,9.78,20.3,2.21,5.82,12.76
155,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,3.99,10.0,20.75,2.19,5.76,12.62,3.95,9.89,20.53
156,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,3.99,10.0,20.75,2.19,5.76,12.62,2.21,5.82,12.76
157,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,3.9,9.78,20.3,3.95,9.89,20.53
158,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,3.9,9.78,20.3,2.21,5.82,12.76
159,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,3.95,9.89,20.53
160,Santana,Caravanserai,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76
161,Santo & Johnny,Il Padrino Famosi Temi Da Films,2.8,3.08,3.36,2.8,3.08,3.36,2.83,3.11,3.4,2.8,3.08,3.36,2.74,3.02,3.29,2.77,3.05,3.33
162,Santo & Johnny,Tenderly = Teneramente,2.33,4.35,9.69,2.33,4.35,9.69,2.35,4.4,9.79,2.33,4.35,9.69,2.27,4.26,9.48,2.3,4.31,9.58
163,Sarah Vaughan,Sarah Vaughan,0.92,3.71,9.29,0.92,3.71,9.29,0.93,3.75,9.39,0.92,3.71,9.29,0.9,2.94,9.09,0.91,2.9699999999999998,9.19
164,The Shadows,20 Golden Greats,0.98,4.39,19.57,0.98,4.39,19.57,0.99,4.43,19.78,0.98,4.39,19.57,0.96,4.29,19.15,0.97,4.34,19.36
165,The Shadows,20 Golden Greats = 20 Grandes Exitos,2.2,5.0,9.9,2.2,5.0,9.9,2.22,5.05,10.01,1.0,5.0,9.9,0.98,4.89,9.69,0.99,4.95,9.79
166,Spandau Ballet,Parade,1.9,3.99,12.0,1.9,3.99,12.0,1.92,4.03,12.13,1.9,3.99,12.0,1.8599999999999999,3.9,11.74,1.88,3.95,11.87
167,Spandau Ballet,Through The Barricades,1.52,4.14,9.0,1.52,4.14,9.0,1.52,4.36,9.0,1.5,4.31,8.9,1.47,4.39,8.71,1.48,4.44,8.8
168,Spandau Ballet,True = Verdad,5.87,9.3,9.79,5.87,9.3,9.79,5.94,9.4,9.89,5.87,9.3,9.79,5.75,9.1,9.58,5.8100000000000005,9.2,9.68
169,Status Quo,Blue For You,1.5,4.7,9.9,1.5,4.7,9.9,1.52,4.75,10.0,1.5,4.7,9.9,1.47,4.6,9.68,1.49,4.65,9.79
170,Status Quo,Just Supposin'...,1.99,4.25,7.9,1.99,4.25,7.9,2.01,4.3,7.98,1.99,4.25,7.9,1.9500000000000002,3.91,7.73,1.97,3.96,7.82
171,Status Quo,Rockin' All Over The World,3.01,4.9,8.1,3.01,4.9,8.1,3.04,4.95,8.19,3.01,4.9,8.1,2.95,4.79,7.93,2.98,4.85,8.01
172,Supertramp,Crime Of The Century,4.95,7.83,20.22,4.95,7.83,20.22,5.01,7.91,20.43,4.95,7.83,20.22,4.85,7.66,19.78,4.9,7.74,20.0
173,Thelonious Monk & Art Blakey,Blue Monk,9.59,13.81,23.99,9.59,13.81,23.99,9.69,13.95,24.25,9.59,13.81,23.99,9.38,13.51,23.48,9.49,13.66,23.74
174,Various,Fame - Bande Originale du Film,0.29,4.13,18.6,0.29,4.13,18.6,0.29,4.04,18.19,0.29,4.0,18.0,0.28,3.91,17.61,0.29,3.96,17.81
175,Various,Festivalbar '87,3.07,7.76,26.12,3.07,7.76,26.12,3.1,7.84,26.4,3.07,7.76,26.12,3.0,7.59,25.56,3.03,7.67,25.84
176,Various,I Supergruppi Vol.1,1.9,7.11,11.75,1.9,7.11,11.75,1.92,7.19,11.87,1.9,7.11,11.75,1.8599999999999999,6.96,11.5,1.88,7.04,11.62
177,Various,Natale Con I Tuoi...,0.99,3.95,7.91,0.99,3.95,7.91,1.0,3.99,8.0,1.0,3.99,8.0,0.98,3.9,7.83,0.99,3.95,7.91
178,Various,Pretty Woman (Soundtrack),2.5,8.0,18.5,2.5,8.0,18.5,2.5300000000000002,8.09,18.7,2.5,8.0,18.5,2.45,7.83,18.1,2.47,7.91,18.3
179,Various,Sanremo 86,2.02,5.5600000000000005,20.22,2.02,5.5600000000000005,20.22,2.04,5.62,20.43,2.02,5.5600000000000005,20.22,1.98,5.44,19.78,2.0,5.5,20.0
180,Various,Vision Quest (Original Motion Picture Sound Track),1.9500000000000002,5.11,25.55,1.9500000000000002,5.11,25.55,1.97,5.16,25.82,1.9500000000000002,5.11,25.55,1.9100000000000001,5.0,25.0,1.9300000000000002,5.05,25.27
181,Vasco Rossi,Albachiara,7.15,15.84,40.88,7.15,15.84,40.88,7.23,16.01,41.32,7.15,15.84,40.88,7.0,15.5,40.0,7.08,15.67,40.44
182,Yes,Big Generator,2.45,7.34,12.68,2.45,7.34,12.68,2.47,7.42,12.81,2.45,7.34,12.68,2.39,7.18,12.4,2.42,7.26,12.54
183,Yes,Going For The One,2.86,7.15,10.22,2.86,7.15,10.22,2.89,7.23,10.33,2.86,7.15,10.22,2.8,7.0,10.0,2.83,7.08,10.11
184,Yes,Relayer,5.05,9.05,15.16,5.05,9.05,15.16,5.11,9.14,15.33,5.05,9.05,15.16,4.95,8.85,14.84,5.0,8.95,15.0
