Artist,Title,Collection,Min,Median,Higher,Min_230529,Median_230529,Higher_230529,Min_230607,Median_230607,Higher_230607,Min_230612,Median_230612,Higher_230612,Min_230619,Median_230619,Higher_230619,Min_230626,Median_230626,Higher_230626,Min_230703,Median_230703,Higher_230703,Min_230711,Median_230711,Higher_230711,Min_230717,Median_230717,Higher_230717
Rondo' Veneziano*,Arabesque,Original Collection Italy,3.34,8.09,15.16,3.34,8.09,15.16,3.37,8.17,15.33,3.34,8.09,15.16,3.26,7.41,14.84,3.3,7.49,15.0,3.3,7.49,15.0,3.26,14.84,14.84,3.19,14.51,14.51
Roxy Music,Avalon,2023 Second Hand,4.04,9.39,25.27,4.04,9.39,25.27,4.09,9.49,25.54,4.04,9.39,25.27,3.96,9.18,24.73,4.0,9.28,25.0,4.0,9.28,25.0,3.96,24.73,24.73,3.91,24.45,24.45
Santana,Caravanserai,2023 Second Hand,3.99,10.0,20.75,3.99,10.0,20.75,4.03,10.11,20.97,3.99,10.0,20.75,3.9,9.78,20.3,3.95,9.89,20.53,3.95,9.89,20.53,3.9,20.3,20.3,3.8200000000000003,19.86,19.86
Santana,Caravanserai,Original Collection Italy,2.24,5.88,12.9,2.24,5.88,12.9,2.26,5.95,13.04,2.24,5.88,12.9,2.19,5.76,12.62,2.21,5.82,12.76,2.21,5.82,12.76,2.19,12.62,12.62,2.14,12.35,12.35
Santo & Johnny,Il Padrino Famosi Temi Da Films,Original Collection Italy,2.8,3.08,3.36,2.8,3.08,3.36,2.83,3.11,3.4,2.8,3.08,3.36,2.74,3.02,3.29,2.77,3.05,3.33,2.77,3.05,3.33,2.74,3.29,3.29,2.68,3.22,3.22
Santo & Johnny,Tenderly = Teneramente,Original Collection Italy,2.33,4.35,9.69,2.33,4.35,9.69,2.35,4.4,9.79,2.33,4.35,9.69,2.27,4.26,9.48,2.3,4.31,9.58,2.3,4.31,9.58,2.27,9.48,9.48,2.23,9.27,9.27
Sarah Vaughan,Sarah Vaughan,2022 Second Hand,0.92,3.71,9.29,0.92,3.71,9.29,0.93,3.75,9.39,0.92,3.71,9.29,0.9,2.94,9.09,0.91,2.97,9.19,0.91,2.97,9.19,0.9,9.09,9.09,0.88,8.89,8.89
The Shadows,20 Golden Greats,Original Collection Italy,0.98,4.39,19.57,0.98,4.39,19.57,0.99,4.43,19.78,0.98,4.39,19.57,0.96,4.29,19.15,0.97,4.34,19.36,0.97,4.34,19.36,0.96,19.15,19.15,0.9400000000000001,18.73,18.73
The Shadows,20 Golden Greats = 20 Grandes Exitos,2021 Second Hand,2.2,5.0,9.9,2.2,5.0,9.9,2.22,5.05,10.01,1.0,5.0,9.9,0.98,4.89,9.69,0.99,4.95,9.79,0.99,4.95,9.79,0.98,9.69,9.69,0.96,9.47,9.47
Spandau Ballet,Parade,2022 Second Hand,1.9,3.99,12.0,1.9,3.99,12.0,1.92,4.03,12.13,1.9,3.99,12.0,1.86,3.9,11.74,1.88,3.95,11.87,1.88,3.95,11.87,1.86,11.74,11.74,1.82,11.48,11.48
Spandau Ballet,Through The Barricades,2022 Second Hand,1.52,4.14,9.0,1.52,4.14,9.0,1.52,4.36,9.0,1.5,4.31,8.9,1.47,4.39,8.71,1.48,4.44,8.8,1.48,4.44,8.8,1.48,8.8,8.8,1.45,8.61,8.61
Spandau Ballet,True = Verdad,2022 Second Hand,5.87,9.3,9.79,5.87,9.3,9.79,5.94,9.4,9.89,5.87,9.3,9.79,5.75,9.1,9.58,5.8100000000000005,9.2,9.68,5.8100000000000005,9.2,9.68,5.75,9.58,9.58,5.62,9.37,9.37
Status Quo,Blue For You,2022 Second Hand,1.5,4.7,9.9,1.5,4.7,9.9,1.52,4.75,10.0,1.5,4.7,9.9,1.47,4.6,9.68,1.49,4.65,9.79,1.49,4.65,9.79,1.42,9.37,9.37,1.42,9.89,9.89
Status Quo,Just Supposin'...,2022 Second Hand,1.99,4.25,7.9,1.99,4.25,7.9,2.01,4.3,7.98,1.99,4.25,7.9,1.95,3.91,7.73,1.97,3.96,7.82,1.97,3.96,7.82,1.95,7.73,7.73,1.97,7.8100000000000005,7.8100000000000005
Status Quo,Rockin' All Over The World,2022 Second Hand,3.01,4.9,8.1,3.01,4.9,8.1,3.04,4.95,8.19,3.01,4.9,8.1,2.95,4.79,7.93,2.98,4.85,8.01,2.98,4.85,8.01,2.95,7.93,7.93,2.88,7.75,7.75
Supertramp,Crime Of The Century,2023 Second Hand,4.95,7.83,20.22,4.95,7.83,20.22,5.01,7.91,20.43,4.95,7.83,20.22,4.85,7.66,19.78,4.9,7.74,20.0,4.9,7.74,20.0,4.85,19.78,19.78,4.74,19.35,19.35
Thelonious Monk & Art Blakey,Blue Monk,Original Collection,9.59,13.81,23.99,9.59,13.81,23.99,9.69,13.95,24.25,9.59,13.81,23.99,9.38,13.51,23.48,9.49,13.66,23.74,9.49,13.66,23.74,9.38,23.48,23.48,9.18,22.96,22.96
Various,Fame - Bande Originale du Film,2022 Second Hand,0.29,4.13,18.6,0.29,4.13,18.6,0.29,4.04,18.19,0.29,4.0,18.0,0.28,3.91,17.61,0.29,3.96,17.81,0.29,3.96,17.81,0.28,17.61,17.61,0.28,17.23,17.23
Various,Festivalbar '87,Original Collection Italy,3.07,7.76,26.12,3.07,7.76,26.12,3.1,7.84,26.4,3.07,7.76,26.12,3.0,7.59,25.56,3.03,7.67,25.84,3.03,7.67,25.84,3.0,25.56,25.56,2.93,25.0,25.0
Various,I Supergruppi Vol.1,Father Collection,1.9,7.11,11.75,1.9,7.11,11.75,1.92,7.19,11.87,1.9,7.11,11.75,1.86,6.96,11.5,1.88,7.04,11.62,1.88,7.04,11.62,1.86,11.5,11.5,1.82,11.24,11.24
Various,Natale Con I Tuoi...,Original Collection Italy,0.99,3.95,7.91,0.99,3.95,7.91,1.0,3.99,8.0,1.0,3.99,8.0,0.98,3.9,7.83,0.99,3.95,7.91,0.99,3.95,7.91,0.98,7.83,7.83,0.96,7.66,7.66
Various,Pretty Woman (Soundtrack),Original Collection Italy,2.5,8.0,18.5,2.5,8.0,18.5,2.53,8.09,18.7,2.5,8.0,18.5,2.45,7.83,18.1,2.47,7.91,18.3,2.47,7.91,18.3,2.45,18.1,18.1,2.39,17.7,17.7
Various,Sanremo 86,Original Collection Italy,2.02,5.5600000000000005,20.22,2.02,5.5600000000000005,20.22,2.04,5.62,20.43,2.02,5.5600000000000005,20.22,1.98,5.44,19.78,2.0,5.5,20.0,2.0,5.0,20.0,1.98,19.78,19.78,1.9300000000000002,19.35,19.35
Various,Vision Quest (Original Motion Picture Sound Track),Original Collection Italy,1.95,5.11,25.55,1.95,5.11,25.55,1.97,5.16,25.82,1.95,5.11,25.55,1.91,5.0,25.0,1.93,5.05,25.27,1.93,5.05,25.27,1.91,25.0,25.0,1.87,24.45,24.45
Vasco Rossi,Albachiara,Original Collection Italy,7.15,15.84,40.88,7.15,15.84,40.88,7.23,16.01,41.32,7.15,15.84,40.88,7.0,15.5,40.0,7.08,15.67,40.44,7.08,15.67,40.44,7.0,40.0,40.0,6.85,39.12,39.12
Yes,Big Generator,2023 Second Hand,2.45,7.34,12.68,2.45,7.34,12.68,2.47,7.42,12.81,2.45,7.34,12.68,2.39,7.18,12.4,2.42,7.26,12.54,2.42,7.26,12.54,2.39,12.4,12.4,2.34,12.13,12.13
Yes,Going For The One,2023 Second Hand,2.86,7.15,10.22,2.86,7.15,10.22,2.89,7.23,10.33,2.86,7.15,10.22,2.8,7.0,10.0,2.83,7.08,10.11,2.83,7.08,10.11,2.8,10.0,10.0,2.74,9.78,9.78
Yes,Relayer,2023 Second Hand,5.05,9.05,15.16,5.05,9.05,15.16,5.11,9.14,15.33,5.05,9.05,15.16,4.95,8.85,14.84,5.0,8.95,15.0,5.0,8.95,15.0,4.95,14.84,14.84,4.84,14.51,14.51
