song,artist_1,artist_id_1,genre_1,album,label,popularity,total_tracks,album_id,duration,date,date_album,imagen,url_song,artist_2,genre_2,artist_id_2,artist_3,genre_3,artist_id_3,artist_4,artist_id_4,genre_4,artist_5,artist_id_5,genre_5
Holy,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,277960,2022-09-28T06:41:02Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/3x8NmT98rGcerSiWTIgCqL,none,none,none,none,none,none,none,none,none,none,none,none
Earth Moving,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,244200,2022-09-28T06:41:09Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/7pAC4gwEpzuJh2O5JuCWtx,none,none,none,none,none,none,none,none,none,none,none,none
See The Light,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,239560,2022-09-28T06:41:16Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/6XfcBG2V153fCuV52OMOVj,none,none,none,none,none,none,none,none,none,none,none,none
Blue Night,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,228866,2022-09-28T06:41:19Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/4CohmsEvGYMoGNkuMLsLtr,none,none,none,none,none,none,none,none,none,none,none,none
Hostage,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,249800,2022-09-28T06:41:22Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/22plfQFkdm5ig44HGk9MNn,none,none,none,none,none,none,none,none,none,none,none,none
Runaway Son,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,247506,2022-09-28T06:41:29Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/0YCIU5qYlzlS6Z2YUwqrCp,none,none,none,none,none,none,none,none,none,none,none,none
Nothing But/Bridge To Paradise,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,520240,2022-09-28T06:41:33Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/2pJxNDhkdGaDXP4uoGZht9,none,none,none,none,none,none,none,none,none,none,none,none
Far Country,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,265000,2022-09-28T06:41:36Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/1U2XS3k2x8w8JCmbFhIoNH,none,none,none,none,none,none,none,none,none,none,none,none
Innocent,Mike Oldfield,562Od3CffWedyz2BbeYWVn,"progressive rock, symphonic rock",Earth Moving,Virgin Records,43.0,9,1OFCreSLu04eyAeUQmrGpY,210800,2022-09-28T06:42:14Z,1989-01-01,https://i.scdn.co/image/ab67616d0000b2739b95ca5babfa8f869f87e026,https://open.spotify.com/track/5Zztu0KEJY8S2eUjz64CMh,none,none,none,none,none,none,none,none,none,none,none,none
We Two Are One,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,274506,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/3oE1fmPt2XBgyRX1NIkogs,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
The King and Queen of America,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,271440,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/15th7835ADkmPJB97sFPGv,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
(My My) Baby's Gonna Cry,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,294693,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/2H13aHvVKHbAjiGtNDW32S,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
Don't Ask Me Why,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,262533,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/3UzpZPsNkpj9Kq1dKI9F3f,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
Angel,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,311640,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/4pTHKxiDYt4Jn9MRgORZDx,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
Revival,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,246466,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/2vg3JaocAE6s2YlY5XHR7C,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
You Hurt Me (And I Hate You),Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,263866,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/6wNz9UjbVVrdblGjGb0xRb,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
Sylvia,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,284266,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/7IDqC1ZhKdQxwGTo5EstR5,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
How Long?,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,283000,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/6tzmrSsVBi05JTcMe9tC8q,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
When the Day Goes Down,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"album rock, dance rock, new romantic, new wave, new wave pop, rock, singer-songwriter, soft rock, sophisti-pop, synthpop",We Too Are One,RCA Records Label,5.0,10,60RGPNbW9jV1WQOWoDeWhR,359333,2022-09-28T06:43:31Z,1989-09-11,https://i.scdn.co/image/ab67616d0000b2735b0aaf6174722dd799942e3a,https://open.spotify.com/track/0qrXyIV6cvz9cdVZmEbg77,Annie Lennox,"new romantic, new wave, new wave pop, singer-songwriter, soft rock, synthpop",5MspMQqdVbdwP6ax3GXqum,Dave Stewart,"new wave pop, rock keyboard",7gcCQIlkkfbul5Mt0jBQkg,none,none,none,none,none,none
Only When You Leave - 2010 Remaster,Spandau Ballet,2urZrEdsq72kx0UzfYN8Yv,"new romantic, new wave, new wave pop, soft rock, sophisti-pop, synthpop",Parade (Special Edition),Parlophone UK,47.0,28,6C5ktlLLpGRMLYFQsTEEU1,311466,2022-09-28T06:43:55Z,1984-06-22,https://i.scdn.co/image/ab67616d0000b27334129c652271c32811f51303,https://open.spotify.com/track/4J9RF6DuQ1wX0EspW3staI,none,none,none,none,none,none,none,none,none,none,none,none
